fixDuration,resp.keys,resp.corr,pracLoop.thisRepN,pracLoop.thisTrialN,pracLoop.thisN,pracLoop.thisIndex,pracLoop.ran,pracLoop.order,cue,tar,corrAns,targOrientation,participant,session,date,expName,psychopyVersion,frameRate,resp.rt,instResp.keys,instResp.rt,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,blockLoop.ran,blockLoop.order,mainLoop.thisRepN,mainLoop.thisTrialN,mainLoop.thisN,mainLoop.thisIndex,mainLoop.ran,mainLoop.order
1.4,left,1,,,,,,,stim/centre.png,stim/incongLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,1.246999979,,,3,0,3,0,1,2,2,0,96,18,1,95
1.1,,0,,,,,,,stim/both.png,stim/incongRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,,,,3,0,3,0,1,2,2,0,96,29,1,95
1.5,left,1,,,,,,,stim/centre.png,stim/congRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.445000172,,,3,0,3,0,1,2,2,0,96,14,1,95
0.85,right,1,,,,,,,stim/lower.png,stim/neutralLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.779999971,,,3,0,3,0,1,2,2,0,96,36,1,95
1.2,right,1,,,,,,,stim/blank.png,stim/neutralLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.626999855,,,3,0,3,0,1,2,2,0,96,39,1,95
1.45,left,1,,,,,,,stim/blank.png,stim/incongLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,1.279999971,,,3,0,3,0,1,2,2,0,96,19,1,95
0.55,right,1,,,,,,,stim/centre.png,stim/neutralLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.58100009,,,3,0,3,0,1,2,2,0,96,38,1,95
0.8,left,1,,,,,,,stim/lower.png,stim/congRight.png,left,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.480999947,,,3,0,3,0,1,2,2,0,96,12,1,95
1.4,right,1,,,,,,,stim/blank.png,stim/incongLeft.png,right,180,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,1.430000067,,,3,0,3,0,1,2,2,0,96,23,1,95
1.4,left,1,,,,,,,stim/upper.png,stim/congLeft.png,left,0,14,001,2020-05-15_00h58.16.525,ANT,3.1.3,60,0.446999788,,,3,0,3,0,1,2,2,0,96,0,1,95
