fixDuration,resp.keys,resp.corr,resp.rt,participant,session,date,expName,psychopyVersion,frameRate,instResp.keys,instResp.rt
0.55,right,1,0.532000065,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,left,1,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,left,1,0.582000017,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.85,right,1,0.58100009,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.45,left,1,0.582000017,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.35,left,1,0.513000011,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,left,1,0.631999969,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.25,left,1,0.530999899,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,right,1,0.480000019,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,left,1,0.48300004,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,right,1,0.713999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,right,1,0.531000137,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,right,1,0.464999914,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,right,1,0.495999813,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,left,0,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.25,left,1,0.664999962,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,left,1,0.514000177,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
,,,,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.5,right,1,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,left,1,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.5,right,1,0.513999939,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,right,1,0.598999977,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,right,0,0.431999922,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,right,1,0.414000034,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.85,left,1,0.56400013,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.55,right,1,0.497999907,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.55,right,1,0.579999924,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,left,1,0.614000082,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,left,1,0.564999819,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,left,1,0.632999897,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.85,left,1,0.498000145,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,right,1,0.496999979,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.4,right,1,0.496999979,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,left,1,0.582000017,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.4,right,1,0.515000105,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,right,1,0.632000208,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,left,1,0.498000145,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.55,right,1,0.513999939,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.1,left,1,0.431999922,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.45,left,1,0.664999962,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,right,1,0.464999914,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1,right,1,0.513999939,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,left,1,0.446999788,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.35,right,1,0.630999804,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,right,1,0.482000113,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,right,1,0.499000072,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.5,left,1,0.480999947,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,right,1,0.447999954,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,left,1,0.514999866,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,left,1,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,right,0,0.413000107,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,right,1,0.579999924,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,left,1,0.513000011,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,right,1,0.580000162,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.6,right,1,0.565000057,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,left,1,0.480999947,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,right,1,0.447000027,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.95,left,1,0.497999907,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1,left,1,0.481000185,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.25,right,1,0.56400013,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,right,1,0.480000019,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,left,1,0.614000082,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,left,1,0.498000145,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,right,1,0.480999947,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.1,left,1,0.446999788,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,left,1,0.498000145,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1,left,1,0.513999939,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.5,left,1,0.496999979,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.1,right,1,0.465000153,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.95,left,1,0.447000027,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.3,right,1,0.414000034,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,right,1,0.716999769,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,left,1,0.531000137,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,right,1,0.578999996,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.6,right,1,0.516000032,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.95,left,0,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,left,1,0.549000025,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,right,1,0.563999891,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.45,left,1,0.430999994,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.5,right,0,0.430000067,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,right,0,0.380999804,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.35,right,1,0.464000225,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.35,left,1,0.58100009,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.2,left,1,0.56400013,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.45,right,1,0.513999939,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.25,left,1,0.56400013,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.55,right,1,0.630999804,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.45,left,1,0.529999971,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,right,1,0.798000097,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.5,left,1,0.663999796,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.55,left,1,0.514000177,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,left,1,0.446999788,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,right,1,0.447000027,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,right,1,0.464000225,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,left,1,0.56400013,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,left,1,0.565000057,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.45,right,1,0.614000082,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.45,left,1,0.546999931,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.55,left,1,0.832000017,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.45,left,1,0.430999994,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.1,right,1,0.615999937,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,right,1,0.464999914,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,right,1,0.480000019,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,right,1,0.498000145,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.95,right,1,0.496999979,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.45,left,1,0.464999914,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.5,right,0,0.414000034,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.35,left,1,0.597999811,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,right,1,0.430999994,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.2,left,1,0.58100009,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,right,1,0.496999979,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.55,right,1,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,right,1,0.664999962,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,right,1,0.498000145,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
,,,,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,right,1,0.429999828,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.3,left,1,0.579999924,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.3,left,1,0.578999996,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.55,right,1,0.413000107,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.5,right,1,0.429999828,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.2,right,1,0.481999874,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.25,left,1,0.414000034,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,left,1,0.464999914,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,left,1,0.430999994,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,left,1,0.497999907,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.6,left,1,0.479000092,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,right,0,0.513999939,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.6,left,1,0.480999947,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,left,1,0.447999954,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1,right,1,0.513999939,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.55,left,1,0.565999985,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,right,1,0.529000044,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.45,left,1,0.463000059,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,right,1,0.59800005,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,right,1,0.497999907,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.6,right,1,0.631999969,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,right,1,0.480000019,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.55,left,1,0.649000168,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,right,1,0.498000145,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,right,1,0.547999859,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.2,right,1,0.411999941,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.6,right,1,0.412999868,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.45,left,1,0.546999931,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,left,1,0.531000137,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,left,1,0.461999893,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.35,left,1,0.463000059,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.55,left,1,0.53000021,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.55,right,1,0.447999954,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.45,right,1,0.414000034,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.45,right,1,0.59800005,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.1,right,1,0.413000107,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,right,1,0.515000105,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,left,1,0.430000067,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.95,right,1,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.45,left,1,0.496999979,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.2,left,1,0.464999914,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.85,right,1,0.465000153,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.9,right,1,0.531000137,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,right,1,0.681000233,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.85,right,0,0.430999994,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,left,1,0.497999907,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.4,right,1,0.446999788,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.5,left,1,0.56400013,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,right,1,0.53000021,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,right,1,0.430000067,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.5,left,1,0.514000177,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.6,right,1,0.548000097,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.45,left,1,0.513999939,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,left,1,0.563999891,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.45,left,1,0.881999969,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.2,left,1,0.465000153,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,left,1,0.54700017,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.35,right,1,0.563999891,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,right,1,0.564999819,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.8,right,1,0.44900012,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,right,1,0.497999907,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.1,right,1,0.563999891,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.45,right,1,0.414000034,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.25,right,1,0.430000067,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.95,left,1,0.464999914,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1,right,1,0.430999994,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.5,left,1,0.463000059,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.4,right,0,0.447999954,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.5,right,1,0.566000223,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.65,left,0,0.397000074,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.55,left,1,0.463000059,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.75,right,1,0.549000025,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1,right,0,0.414000034,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.2,left,1,0.61500001,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.7,left,1,0.481000185,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.85,left,1,0.546999931,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1,left,1,0.59800005,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.15,left,1,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
0.55,right,1,0.465000153,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.1,right,1,0.447000027,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.3,right,1,0.513999939,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.05,right,1,0.429999828,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
1.4,left,1,0.463999987,,001,2019-09-23_14h07.59.228,ANT,3.1.3,60,,
